Topic ID,Topic Name,Chapter,Subsection,Problem Number,Problem Title,URL,Difficulty,Is Premium
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1456,定長子字串中元音的最大數目,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/,1263,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),643,子陣列最大平均數 I,https://leetcode.com/problems/maximum-average-subarray-i/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1343,大小為 K 且平均值大於等於閾值的子陣列數目,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/,1317,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2090,半徑為 k 的子陣列平均值,https://leetcode.com/problems/k-radius-subarray-averages/,1358,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2379,得到 K 個黑塊的最少著色次數,https://leetcode.com/problems/minimum-recolors-to-get-k-consecutive-black-blocks/,1360,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2841,幾乎唯一子陣列的最大和,https://leetcode.com/problems/maximum-sum-of-almost-unique-subarray/,1546,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2461,長度為 K 子陣列中的最大和,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/,1553,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1423,可獲得的最大點數,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,1574,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1052,愛生氣的書店老闆,https://leetcode.com/problems/grumpy-bookstore-owner/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1176,健身計劃評估,https://leetcode.com/problems/diet-plan-performance/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1100,長度為 K 的無重複字元子字串,https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1852,每個子陣列的數字種類數,https://leetcode.com/problems/distinct-numbers-in-each-subarray/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1151,最少交換次數來組合所有的 1,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2107,分享 K 個糖果後獨特口味的數量,https://leetcode.com/problems/number-of-unique-flavors-after-sharing-k-candies/,,TRUE
